CO2(ppm), TVOC, temperature
1153,  114, 25.0
409,  1, 25.5022931479337
433,  5, 25.0
436,  5, 25.885364485045955
436,  5, 24.114635514954045
400,  0, 25.5022931479337
405,  0, 24.616928662887744
444,  6, 25.5022931479337
459,  8, 25.0
459,  8, 25.5022931479337
481,  12, 24.616928662887744
493,  14, 25.885364485045955
594,  29, 24.616928662887744
600,  30, 25.885364485045955
615,  32, 25.0
615,  32, 25.885364485045955
588,  28, 25.0
594,  29, 25.885364485045955
594,  29, 25.0
674,  41, 25.885364485045955
629,  34, 24.616928662887744
623,  33, 25.5022931479337
637,  36, 25.0
637,  36, 25.885364485045955
629,  34, 25.0
650,  38, 25.885364485045955
674,  41, 25.0
650,  38, 25.885364485045955
637,  36, 25.0
787,  58, 25.885364485045955
629,  34, 25.0
650,  38, 25.885364485045955
735,  51, 25.0
699,  45, 25.885364485045955
761,  54, 25.0
752,  53, 25.885364485045955
726,  49, 25.0
714,  47, 25.885364485045955
706,  46, 25.388690696830906
690,  44, 25.885364485045955
674,  41, 25.388690696830906
657,  39, 25.885364485045955
629,  34, 25.0
629,  34, 25.885364485045955
531,  19, 25.0
519,  18, 25.885364485045955
485,  12, 25.0
493,  14, 25.885364485045955
466,  10, 25.0
506,  16, 25.885364485045955
491,  13, 25.0
464,  9, 25.885364485045955
452,  7, 25.0
548,  22, 25.885364485045955
459,  8, 25.0
445,  6, 25.885364485045955
434,  5, 24.616928662887744
410,  1, 25.5022931479337
433,  5, 24.616928662887744
519,  18, 25.5022931479337
477,  11, 24.616928662887744
482,  12, 25.0
450,  7, 24.114635514954045
560,  24, 25.0
506,  16, 24.114635514954045
464,  9, 24.62943611152241
441,  6, 24.114635514954045
444,  6, 24.62943611152241
423,  3, 23.744071626476455
426,  3, 25.0
438,  5, 23.744071626476455
413,  1, 24.62943611152241
415,  2, 23.744071626476455
411,  1, 24.62943611152241
423,  3, 23.744071626476455
426,  3, 24.62943611152241
444,  6, 24.114635514954045
448,  7, 25.0
418,  2, 24.114635514954045
426,  3, 24.62943611152241
442,  6, 24.114635514954045
425,  3, 25.0
425,  3, 23.744071626476455
414,  2, 24.263988430556765
443,  6, 23.744071626476455
497,  14, 25.0
502,  15, 24.114635514954045
497,  14, 25.0
488,  13, 24.114635514954045
476,  11, 25.0
459,  8, 24.114635514954045
459,  8, 25.0
446,  7, 24.114635514954045
443,  6, 25.0
436,  5, 24.114635514954045
436,  5, 25.0
436,  5, 24.114635514954045
433,  5, 25.0
426,  3, 24.114635514954045
423,  3, 25.0
413,  1, 24.114635514954045
413,  1, 25.0
405,  0, 24.114635514954045
426,  3, 25.0
426,  3, 24.114635514954045
436,  5, 25.0
436,  5, 24.114635514954045
433,  5, 25.0
426,  3, 24.114635514954045
436,  5, 25.0
443,  6, 24.114635514954045
446,  7, 25.0
451,  7, 24.114635514954045
446,  7, 25.0
456,  8, 24.114635514954045
451,  7, 25.0
451,  7, 24.114635514954045
451,  7, 25.0
451,  7, 24.114635514954045
451,  7, 25.0
451,  7, 24.114635514954045
451,  7, 25.0
451,  7, 24.114635514954045
456,  8, 25.0
459,  8, 24.114635514954045
456,  8, 25.0
456,  8, 24.114635514954045
446,  7, 25.0
451,  7, 24.114635514954045
446,  7, 25.0
436,  5, 24.114635514954045
443,  6, 25.0
426,  3, 23.744071626476455
423,  3, 24.62943611152241
417,  2, 23.744071626476455
409,  1, 24.62943611152241
405,  0, 23.744071626476455
405,  0, 24.62943611152241
405,  0, 23.744071626476455
402,  0, 24.62943611152241
407,  1, 23.744071626476455
400,  0, 24.62943611152241
400,  0, 23.744071626476455
400,  0, 24.62943611152241
405,  0, 23.744071626476455
400,  0, 24.62943611152241
403,  0, 23.744071626476455
403,  0, 24.62943611152241
408,  1, 23.744071626476455
405,  0, 24.62943611152241
400,  0, 23.744071626476455
405,  0, 24.62943611152241
400,  0, 23.744071626476455
400,  0, 24.62943611152241
402,  0, 23.744071626476455
402,  0, 24.62943611152241
402,  0, 23.744071626476455
400,  0, 24.263988430556765
400,  0, 23.744071626476455
400,  0, 24.62943611152241
400,  0, 23.37862394551081
400,  0, 24.263988430556765
406,  0, 23.744071626476455
400,  0, 24.62943611152241
403,  0, 23.37862394551081
400,  0, 24.263988430556765
405,  0, 23.37862394551081
403,  0, 24.263988430556765
406,  0, 23.37862394551081
406,  0, 24.263988430556765
400,  0, 23.37862394551081
400,  0, 24.263988430556765
403,  0, 23.37862394551081
409,  1, 24.263988430556765
403,  0, 23.37862394551081
400,  0, 24.263988430556765
405,  0, 23.37862394551081
408,  1, 24.263988430556765
405,  0, 23.37862394551081
405,  0, 24.263988430556765
405,  0, 23.37862394551081
405,  0, 24.263988430556765
408,  1, 23.37862394551081
405,  0, 24.263988430556765
408,  1, 23.37862394551081
405,  0, 24.263988430556765
405,  0, 23.37862394551081
405,  0, 24.263988430556765
405,  0, 23.37862394551081
405,  0, 24.263988430556765
405,  0, 23.37862394551081
405,  0, 23.903518802171106
400,  0, 23.37862394551081
405,  0, 24.263988430556765
405,  0, 23.018154317125152
405,  0, 23.903518802171106
405,  0, 23.018154317125152
408,  1, 23.903518802171106
405,  0, 23.018154317125152
408,  1, 23.903518802171106
405,  0, 23.018154317125152
405,  0, 23.903518802171106
405,  0, 23.018154317125152
405,  0, 23.018154317125152
408,  1, 23.018154317125152
405,  0, 23.018154317125152
405,  0, 23.018154317125152
415,  2, 22.311623169928282
543,  21, 22.311623169928282
683,  43, 22.66252995492249
853,  69, 22.66252995492249
905,  76, 22.66252995492249
967,  86, 22.66252995492249
1032,  96, 23.018154317125152
1285,  134, 22.66252995492249
1416,  154, 23.018154317125152
1458,  161, 23.018154317125152
1432,  157, 23.018154317125152
1538,  173, 23.018154317125152
1558,  176, 23.018154317125152
1558,  176, 23.018154317125152
1574,  178, 23.37862394551081
