s,t,a,r,t,",", ,w,r,i,t,i,n,g
"('CO2: ', 1153, 'ppm, TVOC: ', 114, ' temp: ', 25.0)"
"('CO2: ', 409, 'ppm, TVOC: ', 1, ' temp: ', 25.5022931479337)"
"('CO2: ', 433, 'ppm, TVOC: ', 5, ' temp: ', 25.0)"
"('CO2: ', 436, 'ppm, TVOC: ', 5, ' temp: ', 25.885364485045955)"
"('CO2: ', 436, 'ppm, TVOC: ', 5, ' temp: ', 24.114635514954045)"
"('CO2: ', 400, 'ppm, TVOC: ', 0, ' temp: ', 25.5022931479337)"
"('CO2: ', 405, 'ppm, TVOC: ', 0, ' temp: ', 24.616928662887744)"
"('CO2: ', 444, 'ppm, TVOC: ', 6, ' temp: ', 25.5022931479337)"
"('CO2: ', 459, 'ppm, TVOC: ', 8, ' temp: ', 25.0)"
"('CO2: ', 459, 'ppm, TVOC: ', 8, ' temp: ', 25.5022931479337)"
"('CO2: ', 481, 'ppm, TVOC: ', 12, ' temp: ', 24.616928662887744)"
"('CO2: ', 493, 'ppm, TVOC: ', 14, ' temp: ', 25.885364485045955)"
"('CO2: ', 594, 'ppm, TVOC: ', 29, ' temp: ', 24.616928662887744)"
"('CO2: ', 600, 'ppm, TVOC: ', 30, ' temp: ', 25.885364485045955)"
"('CO2: ', 615, 'ppm, TVOC: ', 32, ' temp: ', 25.0)"
"('CO2: ', 615, 'ppm, TVOC: ', 32, ' temp: ', 25.885364485045955)"
"('CO2: ', 588, 'ppm, TVOC: ', 28, ' temp: ', 25.0)"
"('CO2: ', 594, 'ppm, TVOC: ', 29, ' temp: ', 25.885364485045955)"
"('CO2: ', 594, 'ppm, TVOC: ', 29, ' temp: ', 25.0)"
"('CO2: ', 674, 'ppm, TVOC: ', 41, ' temp: ', 25.885364485045955)"
"('CO2: ', 629, 'ppm, TVOC: ', 34, ' temp: ', 24.616928662887744)"
"('CO2: ', 623, 'ppm, TVOC: ', 33, ' temp: ', 25.5022931479337)"
"('CO2: ', 637, 'ppm, TVOC: ', 36, ' temp: ', 25.0)"
"('CO2: ', 637, 'ppm, TVOC: ', 36, ' temp: ', 25.885364485045955)"
"('CO2: ', 629, 'ppm, TVOC: ', 34, ' temp: ', 25.0)"
"('CO2: ', 650, 'ppm, TVOC: ', 38, ' temp: ', 25.885364485045955)"
"('CO2: ', 674, 'ppm, TVOC: ', 41, ' temp: ', 25.0)"
"('CO2: ', 650, 'ppm, TVOC: ', 38, ' temp: ', 25.885364485045955)"
"('CO2: ', 637, 'ppm, TVOC: ', 36, ' temp: ', 25.0)"
"('CO2: ', 787, 'ppm, TVOC: ', 58, ' temp: ', 25.885364485045955)"
"('CO2: ', 629, 'ppm, TVOC: ', 34, ' temp: ', 25.0)"
"('CO2: ', 650, 'ppm, TVOC: ', 38, ' temp: ', 25.885364485045955)"
"('CO2: ', 735, 'ppm, TVOC: ', 51, ' temp: ', 25.0)"
"('CO2: ', 699, 'ppm, TVOC: ', 45, ' temp: ', 25.885364485045955)"
"('CO2: ', 761, 'ppm, TVOC: ', 54, ' temp: ', 25.0)"
"('CO2: ', 752, 'ppm, TVOC: ', 53, ' temp: ', 25.885364485045955)"
"('CO2: ', 726, 'ppm, TVOC: ', 49, ' temp: ', 25.0)"
"('CO2: ', 714, 'ppm, TVOC: ', 47, ' temp: ', 25.885364485045955)"
"('CO2: ', 706, 'ppm, TVOC: ', 46, ' temp: ', 25.388690696830906)"
"('CO2: ', 690, 'ppm, TVOC: ', 44, ' temp: ', 25.885364485045955)"
"('CO2: ', 674, 'ppm, TVOC: ', 41, ' temp: ', 25.388690696830906)"
"('CO2: ', 657, 'ppm, TVOC: ', 39, ' temp: ', 25.885364485045955)"
"('CO2: ', 629, 'ppm, TVOC: ', 34, ' temp: ', 25.0)"
"('CO2: ', 629, 'ppm, TVOC: ', 34, ' temp: ', 25.885364485045955)"
"('CO2: ', 531, 'ppm, TVOC: ', 19, ' temp: ', 25.0)"
"('CO2: ', 519, 'ppm, TVOC: ', 18, ' temp: ', 25.885364485045955)"
"('CO2: ', 485, 'ppm, TVOC: ', 12, ' temp: ', 25.0)"
"('CO2: ', 493, 'ppm, TVOC: ', 14, ' temp: ', 25.885364485045955)"
"('CO2: ', 466, 'ppm, TVOC: ', 10, ' temp: ', 25.0)"
"('CO2: ', 506, 'ppm, TVOC: ', 16, ' temp: ', 25.885364485045955)"
"('CO2: ', 491, 'ppm, TVOC: ', 13, ' temp: ', 25.0)"
"('CO2: ', 464, 'ppm, TVOC: ', 9, ' temp: ', 25.885364485045955)"
"('CO2: ', 452, 'ppm, TVOC: ', 7, ' temp: ', 25.0)"
"('CO2: ', 548, 'ppm, TVOC: ', 22, ' temp: ', 25.885364485045955)"
"('CO2: ', 459, 'ppm, TVOC: ', 8, ' temp: ', 25.0)"
"('CO2: ', 445, 'ppm, TVOC: ', 6, ' temp: ', 25.885364485045955)"
"('CO2: ', 434, 'ppm, TVOC: ', 5, ' temp: ', 24.616928662887744)"
"('CO2: ', 410, 'ppm, TVOC: ', 1, ' temp: ', 25.5022931479337)"
"('CO2: ', 433, 'ppm, TVOC: ', 5, ' temp: ', 24.616928662887744)"
"('CO2: ', 519, 'ppm, TVOC: ', 18, ' temp: ', 25.5022931479337)"
"('CO2: ', 477, 'ppm, TVOC: ', 11, ' temp: ', 24.616928662887744)"
"('CO2: ', 482, 'ppm, TVOC: ', 12, ' temp: ', 25.0)"
"('CO2: ', 450, 'ppm, TVOC: ', 7, ' temp: ', 24.114635514954045)"
"('CO2: ', 560, 'ppm, TVOC: ', 24, ' temp: ', 25.0)"
"('CO2: ', 506, 'ppm, TVOC: ', 16, ' temp: ', 24.114635514954045)"
"('CO2: ', 464, 'ppm, TVOC: ', 9, ' temp: ', 24.62943611152241)"
"('CO2: ', 441, 'ppm, TVOC: ', 6, ' temp: ', 24.114635514954045)"
"('CO2: ', 444, 'ppm, TVOC: ', 6, ' temp: ', 24.62943611152241)"
"('CO2: ', 423, 'ppm, TVOC: ', 3, ' temp: ', 23.744071626476455)"
"('CO2: ', 426, 'ppm, TVOC: ', 3, ' temp: ', 25.0)"
"('CO2: ', 438, 'ppm, TVOC: ', 5, ' temp: ', 23.744071626476455)"
"('CO2: ', 413, 'ppm, TVOC: ', 1, ' temp: ', 24.62943611152241)"
"('CO2: ', 415, 'ppm, TVOC: ', 2, ' temp: ', 23.744071626476455)"
"('CO2: ', 411, 'ppm, TVOC: ', 1, ' temp: ', 24.62943611152241)"
"('CO2: ', 423, 'ppm, TVOC: ', 3, ' temp: ', 23.744071626476455)"
"('CO2: ', 426, 'ppm, TVOC: ', 3, ' temp: ', 24.62943611152241)"
"('CO2: ', 444, 'ppm, TVOC: ', 6, ' temp: ', 24.114635514954045)"
"('CO2: ', 448, 'ppm, TVOC: ', 7, ' temp: ', 25.0)"
"('CO2: ', 418, 'ppm, TVOC: ', 2, ' temp: ', 24.114635514954045)"
"('CO2: ', 426, 'ppm, TVOC: ', 3, ' temp: ', 24.62943611152241)"
"('CO2: ', 442, 'ppm, TVOC: ', 6, ' temp: ', 24.114635514954045)"
"('CO2: ', 425, 'ppm, TVOC: ', 3, ' temp: ', 25.0)"
"('CO2: ', 425, 'ppm, TVOC: ', 3, ' temp: ', 23.744071626476455)"
"('CO2: ', 414, 'ppm, TVOC: ', 2, ' temp: ', 24.263988430556765)"
"('CO2: ', 443, 'ppm, TVOC: ', 6, ' temp: ', 23.744071626476455)"
"('CO2: ', 497, 'ppm, TVOC: ', 14, ' temp: ', 25.0)"
"('CO2: ', 502, 'ppm, TVOC: ', 15, ' temp: ', 24.114635514954045)"
"('CO2: ', 497, 'ppm, TVOC: ', 14, ' temp: ', 25.0)"
"('CO2: ', 488, 'ppm, TVOC: ', 13, ' temp: ', 24.114635514954045)"
"('CO2: ', 476, 'ppm, TVOC: ', 11, ' temp: ', 25.0)"
"('CO2: ', 459, 'ppm, TVOC: ', 8, ' temp: ', 24.114635514954045)"
"('CO2: ', 459, 'ppm, TVOC: ', 8, ' temp: ', 25.0)"
"('CO2: ', 446, 'ppm, TVOC: ', 7, ' temp: ', 24.114635514954045)"
"('CO2: ', 443, 'ppm, TVOC: ', 6, ' temp: ', 25.0)"
"('CO2: ', 436, 'ppm, TVOC: ', 5, ' temp: ', 24.114635514954045)"
"('CO2: ', 436, 'ppm, TVOC: ', 5, ' temp: ', 25.0)"
"('CO2: ', 436, 'ppm, TVOC: ', 5, ' temp: ', 24.114635514954045)"
"('CO2: ', 433, 'ppm, TVOC: ', 5, ' temp: ', 25.0)"
"('CO2: ', 426, 'ppm, TVOC: ', 3, ' temp: ', 24.114635514954045)"
"('CO2: ', 423, 'ppm, TVOC: ', 3, ' temp: ', 25.0)"
"('CO2: ', 413, 'ppm, TVOC: ', 1, ' temp: ', 24.114635514954045)"
"('CO2: ', 413, 'ppm, TVOC: ', 1, ' temp: ', 25.0)"
"('CO2: ', 405, 'ppm, TVOC: ', 0, ' temp: ', 24.114635514954045)"
"('CO2: ', 426, 'ppm, TVOC: ', 3, ' temp: ', 25.0)"
"('CO2: ', 426, 'ppm, TVOC: ', 3, ' temp: ', 24.114635514954045)"
"('CO2: ', 436, 'ppm, TVOC: ', 5, ' temp: ', 25.0)"
"('CO2: ', 436, 'ppm, TVOC: ', 5, ' temp: ', 24.114635514954045)"
"('CO2: ', 433, 'ppm, TVOC: ', 5, ' temp: ', 25.0)"
"('CO2: ', 426, 'ppm, TVOC: ', 3, ' temp: ', 24.114635514954045)"
"('CO2: ', 436, 'ppm, TVOC: ', 5, ' temp: ', 25.0)"
"('CO2: ', 443, 'ppm, TVOC: ', 6, ' temp: ', 24.114635514954045)"
"('CO2: ', 446, 'ppm, TVOC: ', 7, ' temp: ', 25.0)"
"('CO2: ', 451, 'ppm, TVOC: ', 7, ' temp: ', 24.114635514954045)"
"('CO2: ', 446, 'ppm, TVOC: ', 7, ' temp: ', 25.0)"
"('CO2: ', 456, 'ppm, TVOC: ', 8, ' temp: ', 24.114635514954045)"
"('CO2: ', 451, 'ppm, TVOC: ', 7, ' temp: ', 25.0)"
"('CO2: ', 451, 'ppm, TVOC: ', 7, ' temp: ', 24.114635514954045)"
"('CO2: ', 451, 'ppm, TVOC: ', 7, ' temp: ', 25.0)"
"('CO2: ', 451, 'ppm, TVOC: ', 7, ' temp: ', 24.114635514954045)"
"('CO2: ', 451, 'ppm, TVOC: ', 7, ' temp: ', 25.0)"
"('CO2: ', 451, 'ppm, TVOC: ', 7, ' temp: ', 24.114635514954045)"
"('CO2: ', 451, 'ppm, TVOC: ', 7, ' temp: ', 25.0)"
"('CO2: ', 451, 'ppm, TVOC: ', 7, ' temp: ', 24.114635514954045)"
"('CO2: ', 456, 'ppm, TVOC: ', 8, ' temp: ', 25.0)"
"('CO2: ', 459, 'ppm, TVOC: ', 8, ' temp: ', 24.114635514954045)"
"('CO2: ', 456, 'ppm, TVOC: ', 8, ' temp: ', 25.0)"
"('CO2: ', 456, 'ppm, TVOC: ', 8, ' temp: ', 24.114635514954045)"
"('CO2: ', 446, 'ppm, TVOC: ', 7, ' temp: ', 25.0)"
"('CO2: ', 451, 'ppm, TVOC: ', 7, ' temp: ', 24.114635514954045)"
"('CO2: ', 446, 'ppm, TVOC: ', 7, ' temp: ', 25.0)"
"('CO2: ', 436, 'ppm, TVOC: ', 5, ' temp: ', 24.114635514954045)"
"('CO2: ', 443, 'ppm, TVOC: ', 6, ' temp: ', 25.0)"
"('CO2: ', 426, 'ppm, TVOC: ', 3, ' temp: ', 23.744071626476455)"
"('CO2: ', 423, 'ppm, TVOC: ', 3, ' temp: ', 24.62943611152241)"
"('CO2: ', 417, 'ppm, TVOC: ', 2, ' temp: ', 23.744071626476455)"
"('CO2: ', 409, 'ppm, TVOC: ', 1, ' temp: ', 24.62943611152241)"
"('CO2: ', 405, 'ppm, TVOC: ', 0, ' temp: ', 23.744071626476455)"
"('CO2: ', 405, 'ppm, TVOC: ', 0, ' temp: ', 24.62943611152241)"
"('CO2: ', 405, 'ppm, TVOC: ', 0, ' temp: ', 23.744071626476455)"
"('CO2: ', 402, 'ppm, TVOC: ', 0, ' temp: ', 24.62943611152241)"
"('CO2: ', 407, 'ppm, TVOC: ', 1, ' temp: ', 23.744071626476455)"
"('CO2: ', 400, 'ppm, TVOC: ', 0, ' temp: ', 24.62943611152241)"
"('CO2: ', 400, 'ppm, TVOC: ', 0, ' temp: ', 23.744071626476455)"
"('CO2: ', 400, 'ppm, TVOC: ', 0, ' temp: ', 24.62943611152241)"
"('CO2: ', 405, 'ppm, TVOC: ', 0, ' temp: ', 23.744071626476455)"
"('CO2: ', 400, 'ppm, TVOC: ', 0, ' temp: ', 24.62943611152241)"
"('CO2: ', 403, 'ppm, TVOC: ', 0, ' temp: ', 23.744071626476455)"
"('CO2: ', 403, 'ppm, TVOC: ', 0, ' temp: ', 24.62943611152241)"
"('CO2: ', 408, 'ppm, TVOC: ', 1, ' temp: ', 23.744071626476455)"
"('CO2: ', 405, 'ppm, TVOC: ', 0, ' temp: ', 24.62943611152241)"
"('CO2: ', 400, 'ppm, TVOC: ', 0, ' temp: ', 23.744071626476455)"
"('CO2: ', 405, 'ppm, TVOC: ', 0, ' temp: ', 24.62943611152241)"
"('CO2: ', 400, 'ppm, TVOC: ', 0, ' temp: ', 23.744071626476455)"
"('CO2: ', 400, 'ppm, TVOC: ', 0, ' temp: ', 24.62943611152241)"
"('CO2: ', 402, 'ppm, TVOC: ', 0, ' temp: ', 23.744071626476455)"
"('CO2: ', 402, 'ppm, TVOC: ', 0, ' temp: ', 24.62943611152241)"
"('CO2: ', 402, 'ppm, TVOC: ', 0, ' temp: ', 23.744071626476455)"
"('CO2: ', 400, 'ppm, TVOC: ', 0, ' temp: ', 24.263988430556765)"
"('CO2: ', 400, 'ppm, TVOC: ', 0, ' temp: ', 23.744071626476455)"
"('CO2: ', 400, 'ppm, TVOC: ', 0, ' temp: ', 24.62943611152241)"
"('CO2: ', 400, 'ppm, TVOC: ', 0, ' temp: ', 23.37862394551081)"
"('CO2: ', 400, 'ppm, TVOC: ', 0, ' temp: ', 24.263988430556765)"
"('CO2: ', 406, 'ppm, TVOC: ', 0, ' temp: ', 23.744071626476455)"
"('CO2: ', 400, 'ppm, TVOC: ', 0, ' temp: ', 24.62943611152241)"
"('CO2: ', 403, 'ppm, TVOC: ', 0, ' temp: ', 23.37862394551081)"
"('CO2: ', 400, 'ppm, TVOC: ', 0, ' temp: ', 24.263988430556765)"
"('CO2: ', 405, 'ppm, TVOC: ', 0, ' temp: ', 23.37862394551081)"
"('CO2: ', 403, 'ppm, TVOC: ', 0, ' temp: ', 24.263988430556765)"
"('CO2: ', 406, 'ppm, TVOC: ', 0, ' temp: ', 23.37862394551081)"
"('CO2: ', 406, 'ppm, TVOC: ', 0, ' temp: ', 24.263988430556765)"
"('CO2: ', 400, 'ppm, TVOC: ', 0, ' temp: ', 23.37862394551081)"
"('CO2: ', 400, 'ppm, TVOC: ', 0, ' temp: ', 24.263988430556765)"
"('CO2: ', 403, 'ppm, TVOC: ', 0, ' temp: ', 23.37862394551081)"
"('CO2: ', 409, 'ppm, TVOC: ', 1, ' temp: ', 24.263988430556765)"
"('CO2: ', 403, 'ppm, TVOC: ', 0, ' temp: ', 23.37862394551081)"
"('CO2: ', 400, 'ppm, TVOC: ', 0, ' temp: ', 24.263988430556765)"
"('CO2: ', 405, 'ppm, TVOC: ', 0, ' temp: ', 23.37862394551081)"
"('CO2: ', 408, 'ppm, TVOC: ', 1, ' temp: ', 24.263988430556765)"
"('CO2: ', 405, 'ppm, TVOC: ', 0, ' temp: ', 23.37862394551081)"
"('CO2: ', 405, 'ppm, TVOC: ', 0, ' temp: ', 24.263988430556765)"
"('CO2: ', 405, 'ppm, TVOC: ', 0, ' temp: ', 23.37862394551081)"
"('CO2: ', 405, 'ppm, TVOC: ', 0, ' temp: ', 24.263988430556765)"
"('CO2: ', 408, 'ppm, TVOC: ', 1, ' temp: ', 23.37862394551081)"
"('CO2: ', 405, 'ppm, TVOC: ', 0, ' temp: ', 24.263988430556765)"
"('CO2: ', 408, 'ppm, TVOC: ', 1, ' temp: ', 23.37862394551081)"
"('CO2: ', 405, 'ppm, TVOC: ', 0, ' temp: ', 24.263988430556765)"
"('CO2: ', 405, 'ppm, TVOC: ', 0, ' temp: ', 23.37862394551081)"
"('CO2: ', 405, 'ppm, TVOC: ', 0, ' temp: ', 24.263988430556765)"
"('CO2: ', 405, 'ppm, TVOC: ', 0, ' temp: ', 23.37862394551081)"
"('CO2: ', 405, 'ppm, TVOC: ', 0, ' temp: ', 24.263988430556765)"
"('CO2: ', 405, 'ppm, TVOC: ', 0, ' temp: ', 23.37862394551081)"
"('CO2: ', 405, 'ppm, TVOC: ', 0, ' temp: ', 23.903518802171106)"
"('CO2: ', 400, 'ppm, TVOC: ', 0, ' temp: ', 23.37862394551081)"
"('CO2: ', 405, 'ppm, TVOC: ', 0, ' temp: ', 24.263988430556765)"
"('CO2: ', 405, 'ppm, TVOC: ', 0, ' temp: ', 23.018154317125152)"
"('CO2: ', 405, 'ppm, TVOC: ', 0, ' temp: ', 23.903518802171106)"
"('CO2: ', 405, 'ppm, TVOC: ', 0, ' temp: ', 23.018154317125152)"
"('CO2: ', 408, 'ppm, TVOC: ', 1, ' temp: ', 23.903518802171106)"
"('CO2: ', 405, 'ppm, TVOC: ', 0, ' temp: ', 23.018154317125152)"
"('CO2: ', 408, 'ppm, TVOC: ', 1, ' temp: ', 23.903518802171106)"
"('CO2: ', 405, 'ppm, TVOC: ', 0, ' temp: ', 23.018154317125152)"
"('CO2: ', 405, 'ppm, TVOC: ', 0, ' temp: ', 23.903518802171106)"
"('CO2: ', 405, 'ppm, TVOC: ', 0, ' temp: ', 23.018154317125152)"
"('CO2: ', 405, 'ppm, TVOC: ', 0, ' temp: ', 23.018154317125152)"
"('CO2: ', 408, 'ppm, TVOC: ', 1, ' temp: ', 23.018154317125152)"
"('CO2: ', 405, 'ppm, TVOC: ', 0, ' temp: ', 23.018154317125152)"
"('CO2: ', 405, 'ppm, TVOC: ', 0, ' temp: ', 23.018154317125152)"
"('CO2: ', 415, 'ppm, TVOC: ', 2, ' temp: ', 22.311623169928282)"
"('CO2: ', 543, 'ppm, TVOC: ', 21, ' temp: ', 22.311623169928282)"
"('CO2: ', 683, 'ppm, TVOC: ', 43, ' temp: ', 22.66252995492249)"
"('CO2: ', 853, 'ppm, TVOC: ', 69, ' temp: ', 22.66252995492249)"
"('CO2: ', 905, 'ppm, TVOC: ', 76, ' temp: ', 22.66252995492249)"
"('CO2: ', 967, 'ppm, TVOC: ', 86, ' temp: ', 22.66252995492249)"
"('CO2: ', 1032, 'ppm, TVOC: ', 96, ' temp: ', 23.018154317125152)"
"('CO2: ', 1285, 'ppm, TVOC: ', 134, ' temp: ', 22.66252995492249)"
"('CO2: ', 1416, 'ppm, TVOC: ', 154, ' temp: ', 23.018154317125152)"
"('CO2: ', 1458, 'ppm, TVOC: ', 161, ' temp: ', 23.018154317125152)"
"('CO2: ', 1432, 'ppm, TVOC: ', 157, ' temp: ', 23.018154317125152)"
"('CO2: ', 1538, 'ppm, TVOC: ', 173, ' temp: ', 23.018154317125152)"
"('CO2: ', 1558, 'ppm, TVOC: ', 176, ' temp: ', 23.018154317125152)"
"('CO2: ', 1558, 'ppm, TVOC: ', 176, ' temp: ', 23.018154317125152)"
"('CO2: ', 1574, 'ppm, TVOC: ', 178, ' temp: ', 23.37862394551081)"
